geration,id,w1,w2,w3,averageScore,winRate,scores
7,8,-4.630092690101844,16.745752518418772,-1.579410143738869,1251.5,0.4,"[2295.0, 814.0, 2065.0, 63.0, 82.0, 456.0, 2260.0, 2060.0, 1210.0, 1210.0]"
7,9,-5.336136146811759,16.53581306219297,-1.5252425369309133,1062.7,0.2,"[1016.0, 1029.0, 149.0, 400.0, 915.0, 859.0, 2616.0, 203.0, 1185.0, 2255.0]"
7,10,-5.386455684764052,17.498409138548947,-0.6319098097335558,1049.7,0.3,"[210.0, 887.0, 184.0, 672.0, 1678.0, 675.0, 964.0, 2077.0, 2005.0, 1145.0]"
7,11,-3.4864511885359715,17.498409138548947,-1.2023775706278645,1159.7,0.3,"[693.0, 741.0, 470.0, 2575.0, -22.0, 681.0, 2215.0, 1502.0, 2068.0, 674.0]"
7,12,-5.215824926329455,17.26806417138174,-2.2893462465045147,1425.0,0.5,"[2066.0, 1318.0, 833.0, 2691.0, -257.0, 2001.0, 1891.0, 161.0, 1336.0, 2210.0]"
7,13,-5.215824926329455,16.745752518418772,-1.8628600482553075,1098.3,0.4,"[2096.0, 296.0, 1758.0, 2129.0, 2177.0, -410.0, 1085.0, 665.0, 986.0, 201.0]"
7,14,-5.336136146811759,16.538192166804944,-1.579410143738869,1015.6,0.3,"[2325.0, 825.0, 960.0, 472.0, 2332.0, 909.0, -23.0, -98.0, 1696.0, 758.0]"
8,0,-4.294326942021102,17.498409138548947,-0.6319098097335558,1562.9,0.5,"[2142.0, 2104.0, 1129.0, 2008.0, 2413.0, 2428.0, 677.0, 961.0, 1191.0, 576.0]"
8,1,-4.902995119040187,17.233807770157874,-0.6319098097335558,1705.7,0.7,"[1517.0, 654.0, 2270.0, 1842.0, 1566.0, 2313.0, 1882.0, 2359.0, 897.0, 1757.0]"
8,2,-4.902995119040187,16.53581306219297,-1.579410143738869,1309.7,0.5,"[2251.0, -221.0, 1100.0, 134.0, 2071.0, 706.0, 2018.0, 2254.0, 634.0, 2150.0]"
8,3,-5.215824926329455,17.26806417138174,-2.2893462465045147,1490.6,0.5,"[1019.0, -134.0, 2656.0, 231.0, 1996.0, 2378.0, 987.0, 2513.0, 2340.0, 920.0]"
8,4,-5.336136146811759,16.745752518418772,-1.579410143738869,1424.9,0.5,"[2038.0, 2445.0, 433.0, 1312.0, 2347.0, -338.0, 1031.0, 796.0, 2153.0, 2032.0]"
8,5,-4.294326942021102,17.06319184517529,-0.6319098097335558,1483.6,0.5,"[1314.0, 1407.0, 2295.0, 1241.0, 1566.0, 1917.0, -113.0, 2038.0, 2110.0, 1061.0]"
8,6,-5.850507687359999,16.53581306219297,-1.579410143738869,768.6,0.1,"[594.0, 673.0, 1260.0, 829.0, -306.0, 1146.0, 774.0, 878.0, -32.0, 1870.0]"
8,7,-4.666159224776774,17.26806417138174,-2.2893462465045147,1006.1,0.3,"[1283.0, 1879.0, 862.0, 1091.0, 441.0, 2485.0, 1101.0, 224.0, -104.0, 799.0]"
8,8,-5.215824926329455,16.745752518418772,-1.914345267483654,1092.8,0.4,"[2213.0, 2040.0, 2222.0, 468.0, 2393.0, 1002.0, 747.0, -61.0, -143.0, 47.0]"
8,9,-5.336136146811759,17.7383872304774,-0.6319098097335558,1096.0,0.3,"[1014.0, 511.0, 1131.0, 1057.0, 620.0, 2231.0, -234.0, 573.0, 2034.0, 2023.0]"
8,10,-4.294326942021102,17.233807770157874,0.0026989105936436886,-66.0,0.0,"[-328.0, -142.0, 250.0, 336.0, -16.0, -67.0, -156.0, -225.0, 248.0, -560.0]"
8,11,-4.003430235891682,16.53581306219297,-1.579410143738869,1318.0,0.5,"[398.0, 465.0, 1961.0, 2267.0, 2215.0, 2579.0, 312.0, 816.0, 2487.0, -320.0]"
8,12,-4.902995119040187,17.26806417138174,-1.932602919266188,1066.8,0.2,"[2320.0, 1301.0, 967.0, 802.0, 421.0, 140.0, 1424.0, 294.0, 1159.0, 1840.0]"
8,13,-5.215824926329455,17.500084456451493,-1.579410143738869,928.7,0.1,"[152.0, 384.0, 2337.0, 283.0, 710.0, 1281.0, 1445.0, 897.0, 724.0, 1074.0]"
8,14,-5.336136146811759,17.115424048382398,-0.6319098097335558,1311.4,0.5,"[531.0, 1493.0, 2179.0, 621.0, 1952.0, 1918.0, 313.0, 2239.0, 722.0, 1146.0]"
